subjectID,smoothness,order,av_distance,av_distance_prev,reclicks,HVclicks,Novclicks,performance,performance_av,sequence,context,PCA,PEC,E,Novclicksp,HVclicksp,l,b,t,dlogl,dlogb,dlogt,NLL,dnov,dhv,dd,ddprev,logl,logb,logt
N4LWuRgd,smooth,RS,124.166.666.666.667,161.458.333.333.333,254,254,226,687.278.225.806.452,645.241.935.483.871,2,smooth,128.797.058.619.421,-128.797.058.619.421,2,0.470833333,0.529166667,156.393.391.314.906,0.006737947,0.057575138,120.906.360.058.749,-139.944.332.396.856,0.196132303,135.685.370.958.393,21,-20,-0.014583333,0.14375,119.421.839.721.418,-217.147.240.951.626,-123.976.501.611.269
N4LWuRgd,rough,RS,125.625,147.083.333.333.333,274,274,205,60.320.564.516.129,645.241.935.483.871,1,rough,154.212.236.651.619,-154.212.236.651.619,2,0.427083333,0.570833333,0.966395272,0.169032772,0.036652422,120.906.360.058.749,-139.944.332.396.856,0.196132303,111.156.474.356.993,21,-20,-0.014583333,0.14375,-0.014845203,-0.772029086,-143.589.731.899.659
ucvaem47,smooth,RS,233.958.333.333.333,203.541.666.666.667,5,5,469,560.141.129.032.258,505.110.887.096.774,2,smooth,-152.469.734.647.692,152.469.734.647.692,2,0.977083333,0.010416667,0.586402964,0.5385467,0.083918288,-0.015282512,0.007154117,-0.008882336,126.577.221.528.982,4,1,-228.125,-0.44375,-0.231803843,-0.268776631,-107.614.338.649.389
ucvaem47,rough,RS,462.083.333.333.333,247.916.666.666.667,4,4,465,45.008.064.516.129,505.110.887.096.774,1,rough,-27.982.226.273.139,27.982.226.273.139,2,0.96875,0.008333333,0.607405429,0.52974791,0.085652284,-0.015282512,0.007154117,-0.008882336,149.002.158.399.892,4,1,-228.125,-0.44375,-0.216521331,-0.275930748,-106.726.105.037.701
iW4dEHOH,smooth,SR,287.708.333.333.333,316.041.666.666.667,35,35,436,543.528.225.806.452,532.701.612.903.226,1,smooth,-219.068.861.928.421,219.068.861.928.421,2,0.908333333,0.072916667,0.613126957,0.376081686,0.07931722,0.028375632,0.155465817,0.163842622,187.918.650.740.868,87,-66,0.372916667,0.70625,-0.212449589,-0.424717815,-11.006.325.177.548
iW4dEHOH,rough,SR,250.416.666.666.667,245.416.666.666.667,101,101,349,521.875,532.701.612.903.226,2,rough,-0.947523179,0.947523179,2,0.727083333,0.210416667,0.574347558,0.262915607,0.054390727,0.028375632,0.155465817,0.163842622,171.827.413.545.374,87,-66,0.372916667,0.70625,-0.240825221,-0.580183632,-126.447.513.936.517
hv80M7Es,smooth,RS,17.375,184.166.666.666.667,211,211,263,636.733.870.967.742,609.385.080.645.161,2,smooth,0.592237214,-0.592237214,2,0.547916667,0.439583333,0.704163998,0.248880773,0.048914802,0.022316873,0.033163674,0.00833661,128.221.300.932.933,-8,7,-0.60625,-0.447916667,-0.152326183,-0.604008654,-131.055.969.910.774
hv80M7Es,rough,RS,234.375,228.958.333.333.333,204,204,271,582.036.290.322.581,609.385.080.645.161,1,rough,-0.015567312,0.015567312,2,0.564583333,0.425,0.668893452,0.230583205,0.0479848,0.022316873,0.033163674,0.00833661,136.848.937.976.957,-8,7,-0.60625,-0.447916667,-0.174643056,-0.637172328,-13.188.963.086.182
NiFE0W3W,smooth,RS,0.652083333,0.822916667,360,360,120,648.588.709.677.419,612.409.274.193.548,2,smooth,292.712.221.480.874,-292.712.221.480.874,2,0.25,0.75,0.546575099,0.14330875,0.031302578,0.027291177,0.098723086,0.04854883,100.218.412.789.224,-2,4,-0.141666667,-0.1875,-0.262350157,-0.843727292,-15.044.198.942.847
NiFE0W3W,rough,RS,0.79375,101.041.666.666.667,356,356,122,576.229.838.709.677,612.409.274.193.548,1,rough,272.373.244.035.041,-272.373.244.035.041,2,0.254166667,0.741666667,0.513285109,0.114169375,0.027991829,0.027291177,0.098723086,0.04854883,101.141.891.921.653,-2,4,-0.141666667,-0.1875,-0.289641335,-0.942450377,-155.296.872.435.222
1t4AGMJm,smooth,SR,1.55,231.666.666.666.667,216,216,262,676.149.193.548.387,615.171.370.967.742,1,smooth,0.408477925,-0.408477925,2,0.545833333,0.45,172.480.641.820.747,0.158365819,0.071887062,146.587.039.495.627,0.04945963,0.270292511,180.042.047.122.888,22,-14,-0.185416667,0.045833333,123.674.035.957.048,-0.80033855,-11.433.492.668.068
1t4AGMJm,rough,SR,173.541.666.666.667,227.083.333.333.333,230,230,240,554.193.548.387.097,615.171.370.967.742,2,rough,0.50571793,-0.50571793,2,0.5,0.479166667,0.59002439,0.141319412,0.038579645,146.587.039.495.627,0.04945963,0.270292511,138.830.996.425.529,22,-14,-0.185416667,0.045833333,-0.229130035,-0.84979818,-141.364.177.757.241
JHYYuAgs,smooth,SR,4.225,199.791.666.666.667,64,64,328,417.479.838.709.677,411.350.806.451.613,1,smooth,-149.691.650.068.586,149.691.650.068.586,2,0.683333333,0.133333333,310.349.959.821.802,359.906.704.692.758,0.101314609,155.040.364.447.723,0.298275674,-0.490014332,254.957.245.092.135,-41,39,-140.833.333.333.333,0.15625,149.185.169.349.725,0.556189937,-0.994327928
JHYYuAgs,rough,SR,563.333.333.333.333,184.166.666.666.667,25,25,369,405.221.774.193.548,411.350.806.451.613,2,rough,-236.245.064.811.077,236.245.064.811.077,2,0.76875,0.052083333,0.873872452,181.098.253.823.265,0.313102406,155.040.364.447.723,0.298275674,-0.490014332,20.300.798.175.661,-41,39,-140.833.333.333.333,0.15625,-0.058551951,0.257914263,-0.504313596
QCYPsexX,smooth,RS,0.758333333,0.98125,330,330,148,666.935.483.870.968,615.423.387.096.774,2,smooth,253.901.249.902.087,-253.901.249.902.087,2,0.308333333,0.6875,221.661.819.635.758,0.006737947,0.053702862,140.941.876.249.708,-128.943.396.483.454,0.211758896,135.744.604.725.619,-49,56,-1.45,-0.529166667,134.569.089.406.408,-217.147.240.951.626,-127.000.256.731.795
QCYPsexX,rough,RS,220.833.333.333.333,151.041.666.666.667,274,274,197,563.911.290.322.581,615.423.387.096.774,1,rough,1.128.675.848.816,-1.128.675.848.816,2,0.410416667,0.570833333,0.863519465,0.131208375,0.03297908,140.941.876.249.708,-128.943.396.483.454,0.211758896,130.283.237.722.892,-49,56,-1.45,-0.529166667,-0.063727868,-0.882038445,-148.176.146.341.714
IcVJr6Co,smooth,SR,173.125,206.875,66,66,392,574.596.774.193.548,508.225.806.451.613,1,smooth,-0.694955126,0.694955126,2,0.816666667,0.1375,0.62735289,0.362443917,0.068930357,0.094133853,-0.091160565,-0.021558772,16.013.691.056.388,-29,38,-0.429166667,0.520833333,-0.202488097,-0.440759184,-116.158.947.321.474
IcVJr6Co,rough,SR,216.041.666.666.667,154.791.666.666.667,28,28,421,441.854.838.709.677,508.225.806.451.613,2,rough,-0.846407639,0.846407639,2,0.877083333,0.058333333,0.505100793,0.447096614,0.072438475,0.094133853,-0.091160565,-0.021558772,15.694.799.419.605,-29,38,-0.429166667,0.520833333,-0.29662195,-0.349598619,-114.003.070.087.499
u2v4GSN8,smooth,RS,0.929166667,0.9625,349,349,131,644.052.419.354.839,622.439.516.129.032,2,smooth,262.579.695.314.249,-262.579.695.314.249,2,0.272916667,0.727083333,0.007619527,0.201529333,0.039446843,-199.953.356.993.384,0.112541414,0.019628048,109.483.281.758.624,-36,44,-0.129166667,-0.135416667,-211.807.198.427.903,-0.695661732,-140.398.775.366.093
u2v4GSN8,rough,RS,105.833.333.333.333,109.791.666.666.667,305,305,167,600.826.612.903.226,622.439.516.129.032,1,rough,214.937.183.984.792,-214.937.183.984.792,2,0.347916667,0.635416667,0.761134812,0.155523798,0.03770372,-199.953.356.993.384,0.112541414,0.019628048,121.617.330.919.217,-36,44,-0.129166667,-0.135416667,-0.118538414,-0.808203146,-142.361.580.204.171
cbSgT6Ok,smooth,RS,126.875,137.083.333.333.333,73,73,403,569.778.225.806.452,556.995.967.741.936,2,smooth,-0.077571563,0.077571563,2,0.839583333,0.152083333,0.539038829,0.371384421,0.056609046,-0.065571737,0.111371762,0.110647505,124.053.421.312.717,94,-95,-134.583.333.333.333,-0.179166667,-0.26837995,-0.430176318,-124.711.416.363.053
cbSgT6Ok,rough,RS,261.458.333.333.333,1.55,168,168,309,544.213.709.677.419,556.995.967.741.936,1,rough,0.008146266,-0.008146266,2,0.64375,0.35,0.626890643,0.287376942,0.043877142,-0.065571737,0.111371762,0.110647505,114.562.192.150.661,94,-95,-134.583.333.333.333,-0.179166667,-0.202808212,-0.54154808,-135.776.166.854.704
CNJFxQlD,smooth,RS,226.041.666.666.667,243.125,207,207,271,68.320.564.516.129,627.913.306.451.613,2,smooth,-0.053162005,0.053162005,2,0.564583333,0.43125,0.623652174,0.251766045,0.060165994,-0.014021879,0.192005108,0.20670433,141.714.323.016.317,49,-42,-0.033333333,0.58125,-0.205057559,-0.599002843,-122.064.890.131.317
CNJFxQlD,rough,RS,229.375,1.85,249,249,222,572.620.967.741.936,627.913.306.451.613,1,rough,0.671890589,-0.671890589,2,0.4625,0.51875,0.644116345,0.161805041,0.037380643,-0.014021879,0.192005108,0.20670433,120.781.309.238.374,49,-42,-0.033333333,0.58125,-0.19103568,-0.791007951,-142.735.323.179.162
61BY7Mt6,smooth,SR,154.583.333.333.333,178.541.666.666.667,286,286,193,659.233.870.967.742,643.104.838.709.677,1,smooth,132.080.692.711.681,-132.080.692.711.681,2,0.402083333,0.595833333,0.547250494,0.23181721,0.047323479,-0.50235565,0.900687112,0.089792925,118.300.959.989.801,15,-15,-0.575,-0.504166667,-0.261813837,-0.634854325,-132.492.333.375.442
61BY7Mt6,rough,SR,212.083.333.333.333,228.958.333.333.333,301,301,178,626.975.806.451.613,643.104.838.709.677,2,rough,0.881308177,-0.881308177,2,0.370833333,0.627083333,173.997.021.065.277,0.029137921,0.038484313,-0.50235565,0.900687112,0.089792925,104.150.750.672.238,15,-15,-0.575,-0.504166667,0.240541813,-153.554.143.662.298,-141.471.625.923.444
Lnl7Wt61,smooth,RS,3.525,323.541.666.666.667,17,17,458,592.721.774.193.548,553.245.967.741.935,2,smooth,-26.927.275.769.268,26.927.275.769.268,2,0.954166667,0.035416667,133.848.332.855.561,14.541.832.522.025,0.065877526,131.694.301.830.615,0.835096237,0.074474748,186.861.656.959.254,84,-89,0.058333333,-0.16875,112.661.296.621.298,0.162619139,-11.812.627.164.639
Lnl7Wt61,rough,RS,346.666.666.666.667,340.416.666.666.667,106,106,374,513.770.161.290.323,553.245.967.741.935,1,rough,-204.417.088.409.328,204.417.088.409.328,2,0.779166667,0.220833333,0.645163736,0.212580244,0.055496109,131.694.301.830.615,0.835096237,0.074474748,190.372.320.690.122,84,-89,0.058333333,-0.16875,-0.190330052,-0.672477099,-125.573.746.408.066
F47lyxFv,smooth,RS,20.375,211.875,7,7,472,603.286.290.322.581,547.872.983.870.968,2,smooth,-144.610.006.384.472,144.610.006.384.472,2,0.983333333,0.014583333,0.713390551,0.490118397,0.084251628,-0.017465874,0.034522238,0.024925512,153.083.342.756.789,7,3,-109.166.666.666.667,-0.220833333,-0.146672647,-0.309698996,-107.442.169.910.279
F47lyxFv,rough,RS,312.916.666.666.667,233.958.333.333.333,4,4,465,492.459.677.419.355,547.872.983.870.968,1,rough,-20.497.673.948.237,20.497.673.948.237,2,0.96875,0.008333333,0.74266546,0.452666929,0.079552309,-0.017465874,0.034522238,0.024925512,169.560.618.840.604,7,3,-109.166.666.666.667,-0.220833333,-0.129206774,-0.344221234,-109.934.721.069.277
sAmp3xEz,smooth,RS,158.958.333.333.333,1.825,223,223,255,638.548.387.096.774,596.028.225.806.452,2,smooth,0.752078826,-0.752078826,2,0.53125,0.464583333,137.495.699.008.806,0.05270515,0.063537636,131.687.773.712.505,-0.505806899,0.189965176,151.301.023.933.034,19,2,-0.179166667,-0.158333333,113.828.911.325.023,-127.814.694.508.794,-119.696.894.993.423
sAmp3xEz,rough,RS,176.875,198.333.333.333.333,221,221,236,553.508.064.516.129,596.028.225.806.452,1,rough,0.647090948,-0.647090948,2,0.491666667,0.460416667,0.662844071,0.168911786,0.041026633,131.687.773.712.505,-0.505806899,0.189965176,142.266.980.682.417,19,2,-0.179166667,-0.158333333,-0.178588624,-0.772340046,-138.693.412.615.728
rNFwWQCW,smooth,RS,28.875,315.416.666.666.667,1,1,478,600.100.806.451.613,534.586.693.548.387,2,smooth,-25.108.792.526.031,25.108.792.526.031,2,0.995833333,0.002083333,0.915704789,0.508276018,0.102459734,0.061696453,0.115997911,0.086083585,191.000.331.809.311,6,-2,-1.475,-135.208.333.333.333,-0.038244514,-0.293900381,-0.989446777
rNFwWQCW,rough,RS,43.625,450.625,3,3,472,469.072.580.645.161,534.586.693.548.387,1,rough,-396.393.807.287.804,396.393.807.287.804,2,0.983333333,0.00625,0.794436213,0.389136266,0.084036825,0.061696453,0.115997911,0.086083585,206.050.949.587.061,6,-2,-1.475,-135.208.333.333.333,-0.099940968,-0.409898292,-107.553.036.200.622
iTXbRBtS,smooth,SR,0.972916667,124.166.666.666.667,328,328,152,656.915.322.580.645,613.719.758.064.516,1,smooth,225.827.651.342.565,-225.827.651.342.565,2,0.316666667,0.683333333,169.562.691.957.438,0.006737947,0.058033859,0.237219939,-177.324.634.410.485,0.080012546,132.301.080.070.501,-3,4,-0.464583333,-0.58125,122.933.030.275.924,-217.147.240.951.626,-123.631.854.692.004
iTXbRBtS,rough,SR,14.375,182.291.666.666.667,324,324,155,570.524.193.548.387,613.719.758.064.516,2,rough,166.505.196.146.774,-166.505.196.146.774,2,0.322916667,0.675,981.997.457.468.618,0.399736619,0.048269067,0.237219939,-177.324.634.410.485,0.080012546,16.410.885.419.296,-3,4,-0.464583333,-0.58125,0.992110363,-0.398226065,-131.633.109.297.776
SRUmkf4X,smooth,RS,247.291.666.666.667,281.458.333.333.333,3,3,475,610.181.451.612.903,533.881.048.387.097,2,smooth,-209.684.005.513.405,209.684.005.513.405,2,0.989583333,0.00625,148.815.584.526.369,10.616.717.578.649,0.072963493,129.658.191.948.536,0.426863375,0.004706036,197.680.503.657.212,9,-5,-150.625,-0.591666667,117.264.841.453.912,0.025990265,-113.689.438.028.368
SRUmkf4X,rough,RS,397.916.666.666.667,340.625,8,8,466,45.758.064.516.129,533.881.048.387.097,1,rough,-307.090.716.518.705,307.090.716.518.705,2,0.970833333,0.016666667,0.751737984,0.397307615,0.072177126,129.658.191.948.536,0.426863375,0.004706036,182.575.657.099.513,9,-5,-150.625,-0.591666667,-0.123933505,-0.400873111,-11.416.004.158.775
uFvx10vN,smooth,RS,0.804166667,0.989583333,366,366,111,61.383.064.516.129,600.735.887.096.774,2,smooth,282.014.209.222.337,-282.014.209.222.337,2,0.23125,0.7625,0.562082114,0.126313636,0.031777659,0.114084693,-0.022542602,0.052649047,805.100.802.243.217,-5,17,0.235416667,0.4625,-0.250200234,-0.898549763,-149.787.810.069.206
uFvx10vN,rough,RS,0.56875,0.527083333,349,349,116,587.641.129.032.258,600.735.887.096.774,1,rough,311.710.023.530.491,-311.710.023.530.491,2,0.241666667,0.727083333,0.432230165,0.133043248,0.02814964,0.114084693,-0.022542602,0.052649047,947.512.073.822.968,-5,17,0.235416667,0.4625,-0.364284927,-0.876007162,-155.052.714.737.456
aXJ5Rdlz,smooth,RS,189.166.666.666.667,1.95,4,4,474,609.677.419.354.839,556.078.629.032.258,2,smooth,-129.850.610.084.861,129.850.610.084.861,2,0.9875,0.008333333,0.645087177,0.496413226,0.080036293,0.004763664,0.042787576,0.060609932,128.916.104.660.481,2,1,-0.377083333,0.24375,-0.190381591,-0.304156656,-109.671.303.544.001
aXJ5Rdlz,rough,RS,226.875,170.625,3,3,472,502.479.838.709.677,556.078.629.032.258,1,rough,-131.181.416.163.671,131.181.416.163.671,2,0.983333333,0.00625,0.638050047,0.449837614,0.069610865,0.004763664,0.042787576,0.060609932,132.220.308.352.181,2,1,-0.377083333,0.24375,-0.195145255,-0.346944233,-115.732.296.772.784
51vnrcc6,smooth,RS,1.925,219.791.666.666.667,7,7,469,612.862.903.225.806,534.909.274.193.548,2,smooth,-143.213.374.678.188,143.213.374.678.188,2,0.977083333,0.014583333,0.700329384,0.477799504,0.084788897,0.066216739,0.048264929,0.060575431,150.823.252.716.626,7,-2,-101.666.666.666.667,-0.110416667,-0.154697651,-0.320754306,-107.166.101.650.947
51vnrcc6,rough,RS,294.166.666.666.667,230.833.333.333.333,9,9,462,45.695.564.516.129,534.909.274.193.548,1,rough,-191.371.597.103.846,191.371.597.103.846,2,0.9625,0.01875,0.601292255,0.42754395,0.073750259,0.066216739,0.048264929,0.060575431,164.983.863.429.146,7,-2,-101.666.666.666.667,-0.110416667,-0.22091439,-0.369019235,-11.322.364.475.573
zfxRAgLk,smooth,SR,139.791.666.666.667,157.291.666.666.667,253,253,226,665.161.290.322.581,646.209.677.419.355,1,smooth,124.001.714.349.761,-124.001.714.349.761,2,0.470833333,0.527083333,0.810906541,0.209606704,0.054414218,-0.068615167,0.15505322,0.129398661,132.291.547.769.098,28,-28,-0.033333333,0.09375,-0.091029196,-0.678594831,-12.642.876.072.362
zfxRAgLk,rough,SR,143.125,147.916.666.666.667,281,281,198,627.258.064.516.129,646.209.677.419.355,2,rough,151.805.844.314.296,-151.805.844.314.296,2,0.4125,0.585416667,0.949698977,0.146673599,0.040393709,-0.068615167,0.15505322,0.129398661,112.524.039.982.958,28,-28,-0.033333333,0.09375,-0.02241403,-0.833648051,-13.936.862.686.214
xFsuM2g1,smooth,RS,1.375,2.05,212,212,268,673.266.129.032.258,630.524.193.548.387,2,smooth,0.6081669,-0.6081669,2,0.558333333,0.441666667,980.240.174.615.799,0.268511005,0.071647538,115.478.591.261.792,0.159225021,0.248396165,164.155.680.659.641,40,-40,-0.495833333,0.308333333,0.991332498,-0.571037909,-114.479.872.943.247
xFsuM2g1,rough,RS,187.083.333.333.333,174.166.666.666.667,252,252,228,587.782.258.064.516,630.524.193.548.387,1,rough,0.913532075,-0.913532075,2,0.475,0.525,0.686351497,0.186096013,0.040439437,115.478.591.261.792,0.159225021,0.248396165,120.154.462.589.716,40,-40,-0.495833333,0.308333333,-0.163453415,-0.73026293,-139.319.489.477.928
YctMBS37,smooth,RS,0.645833333,0.879166667,292,292,185,727.177.419.354.839,637.046.370.967.742,2,smooth,233.681.085.223.976,-233.681.085.223.976,2,0.385416667,0.608333333,0.481228182,0.293540615,0.053265364,-0.06222873,-0.001518099,-0.010329745,111.527.076.820.492,-159,171,-178.125,-0.939583333,-0.317648947,-0.532331799,-127.355.510.012.454
YctMBS37,rough,RS,242.708.333.333.333,181.875,121,121,344,546.915.322.580.645,637.046.370.967.742,1,rough,-0.417905548,0.417905548,2,0.716666667,0.252083333,0.555366633,0.294568498,0.054547474,-0.06222873,-0.001518099,-0.010329745,151.306.280.967.282,-159,171,-178.125,-0.939583333,-0.255420217,-0.5308137,-126.322.535.543.828
t20SiRMd,smooth,SR,174.166.666.666.667,211.875,277,277,199,704.072.580.645.161,684.546.370.967.742,1,smooth,0.965894327,-0.965894327,2,0.414583333,0.577083333,447.589.844.912.473,0.006737947,0.056650928,0.688469884,-141.803.652.653.384,0.134459272,120.222.603.573.583,37,-39,0.216666667,0.366666667,0.650880225,-217.147.240.951.626,-124.679.297.354.621
t20SiRMd,rough,SR,1.525,175.208.333.333.333,316,316,162,665.020.161.290.323,684.546.370.967.742,2,rough,160.677.848.478.592,-160.677.848.478.592,2,0.3375,0.658333333,0.917086585,0.176426621,0.041566911,0.688469884,-141.803.652.653.384,0.134459272,989.022.673.120.251,37,-39,0.216666667,0.366666667,-0.03758966,-0.753435883,-138.125.224.524.514
q6XSMkDm,smooth,RS,175.625,185.625,233,233,245,655.564.516.129.032,603.901.209.677.419,2,smooth,0.742821229,-0.742821229,2,0.510416667,0.485416667,0.753577785,0.230420592,0.054700666,0.038509984,0.072939778,0.036525079,132.219.274.345.732,-61,76,-111.875,-10.875,-0.122871913,-0.637478712,-126.200.738.378.692
q6XSMkDm,rough,RS,2.875,294.375,157,157,306,552.237.903.225.806,603.901.209.677.419,1,rough,-0.997933,0.997933,2,0.6375,0.327083333,0.689633108,0.194796662,0.050288367,0.038509984,0.072939778,0.036525079,171.659.977.271.195,-61,76,-111.875,-10.875,-0.161381897,-0.71041849,-129.853.246.313.498
8z0pLdPr,smooth,SR,132.708.333.333.333,154.375,319,319,161,656.532.258.064.516,626.572.580.645.161,1,smooth,183.956.824.135.206,-183.956.824.135.206,2,0.335416667,0.664583333,0.531653664,0.169732418,0.041735383,0.005814671,0.136712851,0.171422416,912.638.237.929.441,16,-15,-0.077083333,-0.0125,-0.274371189,-0.770235202,-137.949.559.208.902
8z0pLdPr,rough,SR,140.416.666.666.667,155.625,334,334,145,596.612.903.225.806,626.572.580.645.161,2,rough,192.786.149.354.904,-192.786.149.354.904,2,0.302083333,0.695833333,0.524582913,0.123894477,0.028124317,0.005814671,0.136712851,0.171422416,851.295.856.127.223,16,-15,-0.077083333,-0.0125,-0.280185859,-0.906948053,-155.091.800.836.268
7QTKYnfg,smooth,RS,146.458.333.333.333,181.666.666.666.667,260,260,219,679.012.096.774.194,647.752.016.129.032,2,smooth,111.928.877.325.366,-111.928.877.325.366,2,0.45625,0.541666667,1.994.380.042.838,0.934494776,0.070780641,151.759.228.894.128,0.745019869,0.236467529,141.195.721.261.341,18,-19,-0.08125,0.3,129.980.791.966.304,-0.029423122,-115.008.550.956.269
7QTKYnfg,rough,RS,154.583.333.333.333,151.666.666.666.667,279,279,201,616.491.935.483.871,647.752.016.129.032,1,rough,14.230.696.329.946,-14.230.696.329.946,2,0.41875,0.58125,0.605641506,0.168095857,0.041062649,151.759.228.894.128,0.745019869,0.236467529,109.765.029.593.447,18,-19,-0.08125,0.3,-0.217784369,-0.774442991,-138.655.303.903.406
U5mOdPiX,smooth,SR,0.9875,146.041.666.666.667,234,234,246,659.697.580.645.161,621.068.548.387.097,1,smooth,132.769.659.608.046,-132.769.659.608.046,2,0.5125,0.4875,0.535493529,0.295792171,0.055520343,-113.530.021.967.694,0.401315849,0.025198245,136.170.237.066.191,-14,15,-169.791.666.666.667,-110.833.333.333.333,-0.271245773,-0.529013325,-12.555.478.615.242
U5mOdPiX,rough,SR,268.541.666.666.667,256.875,219,219,260,582.439.516.129.032,621.068.548.387.097,2,rough,-0.229947459,0.229947459,2,0.541666667,0.45625,731.230.751.199.761,0.117400738,0.052390663,-113.530.021.967.694,0.401315849,0.025198245,15.430.745.501.742,-14,15,-169.791.666.666.667,-110.833.333.333.333,0.864054447,-0.930329174,-128.074.610.608.654
hN5cABWG,smooth,SR,126.666.666.666.667,161.666.666.666.667,237,237,240,642.741.935.483.871,622.066.532.258.064,1,smooth,114.547.281.717.573,-114.547.281.717.573,2,0.5,0.49375,0.016559155,0.272362991,0.050038139,-158.239.867.010.801,0.246114808,0.110564687,136.010.021.385.056,38,-33,-0.179166667,0.004166667,-178.096.183.815.355,-0.564851905,-130.069.884.709.054
hN5cABWG,rough,SR,144.583.333.333.333,16.125,270,270,202,601.391.129.032.258,622.066.532.258.064,2,rough,136.677.369.645.614,-136.677.369.645.614,2,0.420833333,0.5625,0.633048278,0.154537288,0.03879149,-158.239.867.010.801,0.246114808,0.110564687,119.444.952.705.852,38,-33,-0.179166667,0.004166667,-0.198563168,-0.810966713,-141.126.353.402.767
H9mdIs8c,smooth,RS,308.958.333.333.333,278.125,3,3,475,567.822.580.645.161,533.860.887.096.774,2,smooth,-23.502.666.672.443,23.502.666.672.443,2,0.989583333,0.00625,0.658346932,0.540682162,0.095212685,-0.035022597,0.104741191,0.092688503,158.365.108.908.478,8,-5,-0.333333333,-0.185416667,-0.181545184,-0.267057958,-10.213.051.883.207
