subjectID,smoothness,order,av_distance,av_distance_prev,reclicks,HVclicks,Novclicks,performance,performance_av,sequence,bonus,context,PCA,PEC
fxpB9QGa,rough,SR,407.291.666.666.667,382.916.666.666.667,169,169,309,5.724.999.999.875,595.796.370.959.375,2,233.912.730.411.161,rough,-122.674.943.749.797,122.674.943.749.797
9xutvSye,smooth,RS,170.625,210.625,251,251,227,6.940.725.806.375,668.881.048.390.625,2,265.234.735.024.554,smooth,129.352.445.483.644,-129.352.445.483.644
9xutvSye,rough,RS,201.666.666.666.667,263.125,283,283,191,64.368.951.614.375,668.881.048.390.625,1,265.234.735.024.554,rough,11.805.522.521.697,-11.805.522.521.697
BofXoNFk,smooth,SR,192.083.333.333.333,230.833.333.333.333,65,65,392,64.608.870.966.875,57.031.249.999.375,1,222.991.071.425.893,smooth,-0.371124988,0.371124988
BofXoNFk,rough,SR,388.125,270.625,11,11,456,49.453.629.031.875,57.031.249.999.375,2,222.991.071.425.893,rough,-183.844.294.049.607,183.844.294.049.607
RksVc4sw,smooth,RS,352.083.333.333.333,257.083.333.333.333,8,8,468,58.856.854.836.875,53.755.040.321.875,2,208.950.172.808.036,smooth,-168.993.361.239.389,168.993.361.239.389
RksVc4sw,rough,RS,342.916.666.666.667,198.958.333.333.333,6,6,458,48.653.225.806.875,53.755.040.321.875,1,208.950.172.808.036,rough,-131.261.218.077.877,131.261.218.077.877
l2LuBYfu,smooth,SR,195.208.333.333.333,2.275,219,219,261,65.350.806.453.125,627.308.467.740.625,1,247.417.914.745.982,smooth,0.831436719,-0.831436719
l2LuBYfu,rough,SR,251.458.333.333.333,255.625,287,287,193,60.110.887.095,627.308.467.740.625,2,247.417.914.745.982,rough,103.545.031.637.589,-103.545.031.637.589
pKIXxVyK,smooth,RS,154.583.333.333.333,21.125,261,261,217,65.096.774.195,62.704.637.096.875,2,247.305.587.558.036,smooth,143.647.121.899.777,-143.647.121.899.777
pKIXxVyK,rough,RS,231.875,273.333.333.333.333,278,278,195,6.031.249.999.875,62.704.637.096.875,1,247.305.587.558.036,rough,0.971445669,-0.971445669
r0YPdwfd,smooth,RS,112.291.666.666.667,130.833.333.333.333,147,147,327,6.305.040.322.625,56.318.548.386.875,2,21.993.663.594.375,smooth,108.578.322.647.782,-108.578.322.647.782
r0YPdwfd,rough,RS,411.458.333.333.333,25.375,2,2,476,495.866.935.475,56.318.548.386.875,1,21.993.663.594.375,rough,-196.147.609.116.379,196.147.609.116.379
FTwnzJSm,smooth,RS,14.625,198.333.333.333.333,221,221,253,6.414.112.903.125,62.075.604.838.125,2,244.609.735.020.536,smooth,121.803.089.133.105,-121.803.089.133.105
FTwnzJSm,rough,RS,174.791.666.666.667,219.583.333.333.333,236,236,236,60.010.080.645,62.075.604.838.125,1,244.609.735.020.536,rough,112.911.944.163.058,-112.911.944.163.058
AqqqOGhf,smooth,RS,220.625,216.458.333.333.333,23,23,435,5.409.475.806.375,515.070.564.509.375,2,199.315.956.218.304,smooth,-0.762767857,0.762767857
AqqqOGhf,rough,RS,275.833.333.333.333,2.45,20,20,447,48.919.354.838.125,515.070.564.509.375,1,199.315.956.218.304,rough,-119.133.260.174.356,119.133.260.174.356
6kvExd9i,smooth,SR,197.708.333.333.333,237.916.666.666.667,276,276,204,67.006.048.386.875,625.282.258.059.375,1,246.549.539.168.304,smooth,124.542.908.696.623,-124.542.908.696.623
6kvExd9i,rough,SR,257.083.333.333.333,329.583.333.333.333,222,222,258,58.050.403.225,625.282.258.059.375,2,246.549.539.168.304,rough,0.07557275,-0.07557275
MGwuFluO,smooth,SR,111.041.666.666.667,128.541.666.666.667,227,227,224,56.427.419.355.625,594.979.838.715.625,1,233.562.788.020.982,smooth,187.174.917.978.217,-187.174.917.978.217
MGwuFluO,rough,SR,0.747916667,0.9625,308,308,158,625.685.483.875,594.979.838.715.625,2,233.562.788.020.982,rough,280.091.201.089.989,-280.091.201.089.989
54g1OevZ,smooth,RS,215.833.333.333.333,250.625,71,71,402,61.967.741.936.875,564.465.725.815.625,2,220.485.311.063.839,smooth,-0.585116639,0.585116639
54g1OevZ,rough,RS,43.125,344.791.666.666.667,64,64,387,5.092.540.322.625,564.465.725.815.625,1,220.485.311.063.839,rough,-188.616.282.163.051,188.616.282.163.051
oy3GJkkz,smooth,SR,28.875,336.875,140,140,336,62.532.258.064.375,594.475.806.459.375,1,233.346.774.196.875,smooth,-0.758033706,0.758033706
oy3GJkkz,rough,SR,331.666.666.666.667,38.375,194,194,281,563.629.032.275,594.475.806.459.375,2,233.346.774.196.875,rough,-0.715065461,0.715065461
vF58zivx,smooth,SR,126.875,155.208.333.333.333,176,176,304,65.957.661.290.625,66.055.443.548.125,1,261.666.186.634.821,smooth,111.841.069.093.327,-111.841.069.093.327
vF58zivx,rough,SR,118.125,120.625,276,276,203,66.153.225.805.625,66.055.443.548.125,2,261.666.186.634.821,rough,218.001.405.591.865,-218.001.405.591.865
er8edGI8,smooth,SR,250.833.333.333.333,214.583.333.333.333,144,144,336,60.342.741.935.625,61.508.064.516.875,1,242.177.419.358.036,smooth,0.053936094,-0.053936094
er8edGI8,rough,SR,118.541.666.666.667,122.708.333.333.333,333,333,147,62.673.387.098.125,61.508.064.516.875,2,242.177.419.358.036,rough,264.204.214.273.923,-264.204.214.273.923
AgVrL919,smooth,RS,156.041.666.666.667,18.125,121,121,357,610.766.129.025,57.146.169.354.375,2,223.483.582.947.321,smooth,0.413563167,-0.413563167
AgVrL919,rough,RS,190.208.333.333.333,188.125,165,165,315,5.321.572.580.625,57.146.169.354.375,1,223.483.582.947.321,rough,0.605814565,-0.605814565
Fb9rTwTw,smooth,SR,261.458.333.333.333,231.875,6,6,471,5.903.024.193.625,54.396.169.355,1,211.697.868.664.286,smooth,-122.572.751.796.713,122.572.751.796.713
Fb9rTwTw,rough,SR,575.416.666.666.667,398.541.666.666.667,5,5,466,4.976.209.677.375,54.396.169.355,2,211.697.868.664.286,rough,-331.028.791.472.557,331.028.791.472.557
8YrMzUDN,smooth,RS,227.291.666.666.667,22.125,21,21,453,58.358.870.968.125,537.681.451.615.625,2,209.006.336.406.696,smooth,-0.898196363,0.898196363
8YrMzUDN,rough,RS,463.125,31.125,15,15,428,49.177.419.355,537.681.451.615.625,1,209.006.336.406.696,rough,-221.008.418.025.978,221.008.418.025.978
AbfmSWQ1,smooth,SR,145.208.333.333.333,1.775,346,346,134,68.358.870.968.125,622.137.096.778.125,1,245.201.612.904.911,smooth,235.742.725.876.041,-235.742.725.876.041
AbfmSWQ1,rough,SR,155.208.333.333.333,188.125,358,358,121,560.685.483.875,622.137.096.778.125,2,245.201.612.904.911,rough,236.735.005.740.395,-236.735.005.740.395
Q4VuNvby,smooth,SR,188.125,198.541.666.666.667,126,126,346,56.483.870.968.125,571.542.338.721.875,1,223.518.145.166.518,smooth,0.264711582,-0.264711582
Q4VuNvby,rough,SR,266.041.666.666.667,237.916.666.666.667,145,145,314,5.782.459.677.625,571.542.338.721.875,2,223.518.145.166.518,rough,-0.03191011,0.03191011
65niyo6P,smooth,SR,106.458.333.333.333,132.291.666.666.667,308,308,172,674.112.903.225,629.213.709.675,1,248.234.447.003.571,smooth,24.280.968.604.988,-24.280.968.604.988
65niyo6P,rough,SR,125.833.333.333.333,173.333.333.333.333,301,301,179,584.314.516.125,629.213.709.675,2,248.234.447.003.571,rough,207.660.860.545.749,-207.660.860.545.749
mbhPWWqA,smooth,RS,120.416.666.666.667,118.333.333.333.333,205,205,193,58.413.306.451.875,538.286.290.328.125,2,209.265.552.997.768,smooth,192.778.193.914.013,-192.778.193.914.013
mbhPWWqA,rough,RS,161.875,164.375,177,177,236,4.924.395.161.375,538.286.290.328.125,1,209.265.552.997.768,rough,122.452.235.657.376,-122.452.235.657.376
AaIfX4PC,smooth,SR,281.875,302.708.333.333.333,13,13,460,59.735.887.096.875,553.135.080.646.875,1,215.629.320.277.232,smooth,-16.046.741.309.255,16.046.741.309.255
AaIfX4PC,rough,SR,372.916.666.666.667,320.416.666.666.667,2,2,471,508.911.290.325,553.135.080.646.875,2,215.629.320.277.232,rough,-214.418.267.715.276,214.418.267.715.276
rZJBFV36,smooth,SR,0.497916667,0.647916667,362,362,117,56.707.661.290.625,560.574.596.778.125,1,218.817.684.333.482,smooth,346.358.348.404.398,-346.358.348.404.398
rZJBFV36,rough,SR,0.208333333,0.289583333,422,422,58,55.407.258.065,560.574.596.778.125,2,218.817.684.333.482,rough,426.573.243.929.006,-426.573.243.929.006
g2I15yhb,smooth,SR,2.725,313.333.333.333.333,67,67,412,60.830.645.161.875,5.641.935.483.875,1,220.368.663.594.643,smooth,-119.617.728.267.362,119.617.728.267.362
g2I15yhb,rough,SR,345.625,370.833.333.333.333,70,70,407,52.008.064.515.625,5.641.935.483.875,2,220.368.663.594.643,rough,-175.100.099.903.645,175.100.099.903.645
zOoyPFJS,smooth,SR,159.583.333.333.333,212.083.333.333.333,123,123,348,65.969.758.064.375,596.320.564.515.625,1,234.137.384.792.411,smooth,0.282695146,-0.282695146
zOoyPFJS,rough,SR,163.958.333.333.333,142.708.333.333.333,224,224,206,5.329.435.483.875,596.320.564.515.625,2,234.137.384.792.411,rough,165.456.562.740.426,-165.456.562.740.426
H7wpJP3z,smooth,SR,224.375,257.083.333.333.333,31,31,442,6.024.798.387,54.784.274.193.125,1,213.361.175.113.393,smooth,-0.988551773,0.988551773
H7wpJP3z,rough,SR,344.791.666.666.667,291.666.666.666.667,37,37,436,4.932.056.451.625,54.784.274.193.125,2,213.361.175.113.393,rough,-158.863.699.088.447,158.863.699.088.447
kFvGqsFv,smooth,SR,208.541.666.666.667,2.325,208,208,250,6.439.919.354.875,589.677.419.365.625,1,231.290.322.585.268,smooth,0.75341348,-0.75341348
kFvGqsFv,rough,SR,292.708.333.333.333,307.083.333.333.333,237,237,230,53.536.290.324.375,589.677.419.365.625,2,231.290.322.585.268,rough,0.237344769,-0.237344769
UpoaPxVO,smooth,RS,488.958.333.333.333,4.8,23,23,448,5.958.064.516.125,5.467.338.709.625,2,212.885.944.698.214,smooth,-325.528.624.725.456,325.528.624.725.456
UpoaPxVO,rough,RS,628.125,55.875,24,24,448,4.976.612.903.125,5.467.338.709.625,1,212.885.944.698.214,rough,-420.840.262.192.172,420.840.262.192.172
PqMau9qB,smooth,RS,154.583.333.333.333,179.583.333.333.333,83,83,390,6.209.072.580.625,561.874.999.996.875,2,219.374.999.998.661,smooth,0.129841746,-0.129841746
PqMau9qB,rough,RS,377.708.333.333.333,221.458.333.333.333,4,4,464,50.284.274.193.125,561.874.999.996.875,1,219.374.999.998.661,rough,-16.004.885.536.322,16.004.885.536.322
upD8a42C,smooth,RS,316.875,3.4,55,55,370,5.410.685.483.875,49.916.330.645.625,2,192.498.559.909.821,smooth,-138.313.811.160.848,138.313.811.160.848
upD8a42C,rough,RS,352.708.333.333.333,401.666.666.666.667,57,57,362,457.258.064.525,49.916.330.645.625,1,192.498.559.909.821,rough,-180.691.079.328.398,180.691.079.328.398
kItuL1Hm,smooth,SR,213.958.333.333.333,2.3,3,3,470,5.936.290.322.625,547.167.338.709.375,1,213.071.716.589.732,smooth,-103.985.329.141.511,103.985.329.141.511
kItuL1Hm,rough,SR,305.833.333.333.333,266.458.333.333.333,5,5,466,50.070.564.515.625,547.167.338.709.375,2,213.071.716.589.732,rough,-156.431.866.162.322,156.431.866.162.322
P9wMmcET,smooth,SR,220.416.666.666.667,280.208.333.333.333,13,13,460,5.616.330.645.125,515.604.838.703.125,1,199.544.930.872.768,smooth,-124.697.480.865.366,124.697.480.865.366
P9wMmcET,rough,SR,401.458.333.333.333,298.125,14,14,449,46.957.661.289.375,515.604.838.703.125,2,199.544.930.872.768,rough,-199.386.710.107.249,199.386.710.107.249
33dpB69H,smooth,SR,189.791.666.666.667,208.958.333.333.333,133,133,346,64.683.467.741.875,619.243.951.615.625,1,243.961.693.549.554,smooth,0.23238126,-0.23238126
33dpB69H,rough,SR,3.575,236.666.666.666.667,178,178,300,5.916.532.258.125,619.243.951.615.625,2,243.961.693.549.554,rough,-0.182887152,0.182887152
rzbdtmuF,smooth,SR,276.875,32.625,9,9,469,6.379.233.871,57.033.266.129.375,1,222.999.711.983.036,smooth,-176.469.157.796.625,176.469.157.796.625
rzbdtmuF,rough,SR,443.125,368.958.333.333.333,4,4,470,5.027.419.354.875,57.033.266.129.375,2,222.999.711.983.036,rough,-266.124.739.412.017,266.124.739.412.017
4CGNqBe4,smooth,SR,152.083.333.333.333,137.083.333.333.333,70,70,356,56.614.919.354.375,515.997.983.878.125,1,199.713.421.662.054,smooth,0.453433348,-0.453433348
4CGNqBe4,rough,SR,160.833.333.333.333,136.458.333.333.333,110,110,305,4.658.467.742.125,515.997.983.878.125,2,199.713.421.662.054,rough,0.805175719,-0.805175719
XDGvWWK7,smooth,RS,102.083.333.333.333,1.15,249,249,231,6.806.048.387,604.082.661.284.375,2,237.463.997.693.304,smooth,204.101.035.249.808,-204.101.035.249.808
XDGvWWK7,rough,RS,205.833.333.333.333,19.875,117,117,360,52.756.048.386.875,604.082.661.284.375,1,237.463.997.693.304,rough,0.098232027,-0.098232027
pQ7iKpf5,smooth,RS,191.041.666.666.667,208.333.333.333.333,180,180,295,62.939.516.129.375,563.578.629.040.625,2,220.105.126.731.696,smooth,0.642563535,-0.642563535
pQ7iKpf5,rough,RS,371.666.666.666.667,317.916.666.666.667,29,29,438,4.977.620.967.875,563.578.629.040.625,1,220.105.126.731.696,rough,-187.397.672.463.488,187.397.672.463.488
hsAvlSjb,smooth,SR,22.375,288.333.333.333.333,41,41,429,60.959.677.419.375,5.580.645.161.375,1,2.177.419.354.875,smooth,-105.508.888.533.979,105.508.888.533.979
hsAvlSjb,rough,SR,282.916.666.666.667,278.958.333.333.333,56,56,387,50.653.225.808.125,5.580.645.161.375,2,2.177.419.354.875,rough,-0.995271222,0.995271222
kzlFEtU5,smooth,RS,170.625,214.791.666.666.667,1,1,477,61.205.645.160.625,556.713.709.678.125,2,217.163.018.433.482,smooth,-0.828976674,0.828976674
kzlFEtU5,rough,RS,286.458.333.333.333,283.333.333.333.333,7,7,469,50.137.096.775,556.713.709.678.125,1,217.163.018.433.482,rough,-158.282.048.937.609,158.282.048.937.609
QHEr9xVf,smooth,SR,783.333.333.333.333,277.291.666.666.667,2,2,468,38.713.709.678.125,421.330.645.165.625,1,159.141.705.070.982,smooth,-349.543.972.001.213,349.543.972.001.213
QHEr9xVf,rough,SR,633.333.333.333.333,289.583.333.333.333,1,1,470,45.552.419.355,421.330.645.165.625,2,159.141.705.070.982,rough,-299.118.687.386.912,299.118.687.386.912
1NemdBTo,smooth,RS,39.375,346.666.666.666.667,41,41,402,56.169.354.838.125,5.271.471.774.125,2,2.044.916.474.625,smooth,-191.015.447.962.503,191.015.447.962.503
1NemdBTo,rough,RS,432.083.333.333.333,369.166.666.666.667,41,41,397,49.260.080.644.375,5.271.471.774.125,1,2.044.916.474.625,rough,-215.707.659.005.968,215.707.659.005.968
705wkeDA,smooth,SR,290.208.333.333.333,336.666.666.666.667,48,48,428,6.183.266.129,56.672.379.031.875,1,22.145.305.299.375,smooth,-153.554.251.284.586,153.554.251.284.586
705wkeDA,rough,SR,486.666.666.666.667,412.083.333.333.333,32,32,444,5.151.209.677.375,56.672.379.031.875,2,22.145.305.299.375,rough,-283.190.554.624.234,283.190.554.624.234
pkz0jFOg,smooth,RS,159.583.333.333.333,150.208.333.333.333,37,37,417,58.399.193.548.125,5.465.927.419.375,2,212.825.460.830.357,smooth,-0.040366767,0.040366767
pkz0jFOg,rough,RS,266.041.666.666.667,22.625,18,18,444,50.919.354.839.375,5.465.927.419.375,1,212.825.460.830.357,rough,-104.972.660.719.534,104.972.660.719.534
kYegPxzi,smooth,RS,170.625,154.583.333.333.333,291,291,179,61.760.080.645,586.018.145.159.375,2,229.722.062.211.161,smooth,196.026.761.704.647,-196.026.761.704.647
kYegPxzi,rough,RS,3.85,32.375,174,174,286,55.443.548.386.875,586.018.145.159.375,1,229.722.062.211.161,rough,-0.708908726,0.708908726
OOymyGn2,smooth,SR,358.958.333.333.333,0.916666667,229,229,96,46.229.838.709.375,45.747.983.870.625,1,174.634.216.588.393,smooth,165.254.524.985.503,-165.254.524.985.503
OOymyGn2,rough,SR,3.025,0.897916667,266,266,89,45.266.129.031.875,45.747.983.870.625,2,174.634.216.588.393,rough,206.609.513.197.619,-206.609.513.197.619
D9MnKKI8,smooth,RS,0.94375,102.083.333.333.333,401,401,78,5.939.314.516.125,5.791.935.483.875,2,226.797.235.023.214,smooth,342.063.653.338.953,-342.063.653.338.953
D9MnKKI8,rough,RS,11.125,131.041.666.666.667,327,327,147,5.644.556.451.625,5.791.935.483.875,1,226.797.235.023.214,rough,260.102.313.065.878,-260.102.313.065.878
2Af8uEr0,smooth,RS,538.125,338.541.666.666.667,6,6,458,4.344.959.677.375,424.868.951.615.625,2,160.658.122.120.982,smooth,-280.975.046.720.496,280.975.046.720.496
2Af8uEr0,rough,RS,462.291.666.666.667,310.833.333.333.333,9,9,453,41.524.193.549.375,424.868.951.615.625,1,160.658.122.120.982,rough,-233.504.842.586.937,233.504.842.586.937
HsR4Ee3W,smooth,SR,348.125,358.333.333.333.333,14,14,463,5.971.370.967.625,53.771.169.355,1,209.019.297.235.714,smooth,-216.495.118.943.349,216.495.118.943.349
HsR4Ee3W,rough,SR,56.625,425.833.333.333.333,5,5,468,4.782.862.903.375,53.771.169.355,2,209.019.297.235.714,rough,-342.777.413.233.093,342.777.413.233.093
NajVYcOi,smooth,RS,291.875,287.083.333.333.333,2,2,475,5.893.951.612.875,52.981.854.838.125,2,205.636.520.734.821,smooth,-166.992.919.775.322,166.992.919.775.322
NajVYcOi,rough,RS,410.833.333.333.333,299.791.666.666.667,1,1,470,470.241.935.475,52.981.854.838.125,1,205.636.520.734.821,rough,-218.197.913.143.777,218.197.913.143.777
jJ87o7cz,smooth,SR,364.375,293.125,199,199,276,5.665.524.193.625,5.825.705.645.125,1,228.244.527.648.214,smooth,-0.319697947,0.319697947
jJ87o7cz,rough,SR,238.958.333.333.333,181.875,280,280,187,5.985.887.096.625,5.825.705.645.125,2,228.244.527.648.214,rough,147.071.199.617.202,-147.071.199.617.202
hVuEOqnz,smooth,RS,142.291.666.666.667,147.916.666.666.667,273,273,207,66.939.516.129.375,667.802.419.353.125,2,264.772.465.437.054,smooth,191.219.872.387.741,-191.219.872.387.741
